rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
450,michaelshimeles/boring-computers,https://github.com/michaelshimeles/boring-computers,Go,Apache-2.0,2026-W28,2026-W28,1,93,93,0,11,false,true,ai-agents|computer-use|firecracker|golang|mcp|microvm|sandbox|svelte
451,nv-tlabs/PiD,https://github.com/nv-tlabs/PiD,Python,NOASSERTION,2026-W22,2026-W22,1,93,93,0,3,false,true,diffusion-decoder|pixel-diffusion
452,ruvnet/agent-harness-generator,https://github.com/ruvnet/agent-harness-generator,TypeScript,MIT,2026-W25,2026-W25,1,93,93,0,8,false,true,agent-harness|agent-harness-generator|agent-scaffolding|agentic-ai|agentic-framework|autonomous-agents|claude-code|codex
453,ZadAnthony/serenity-skill,https://github.com/ZadAnthony/serenity-skill,,,2026-W24,2026-W24,1,93,93,0,11,false,true,
454,ZJunCher/xiaoyan-ai-dev-assistant,https://github.com/ZJunCher/xiaoyan-ai-dev-assistant,Java,,2026-W21,2026-W21,1,93,93,0,3,false,true,
455,NanmiCoder/open-image-prompts,https://github.com/NanmiCoder/open-image-prompts,Python,MIT,2026-W31,2026-W31,1,92,92,0,13,false,true,image-skill|imagesprompts|open-image-prompts|openimages
456,dabberman456/finance-mcp-app,https://github.com/dabberman456/finance-mcp-app,TypeScript,MPL-2.0,2026-W29,2026-W30,2,91,91,0,1013,false,true,app|expense-management|finance|finance-app|goal-tracking|mcp|mcp-app
457,JasonSTong/codex-theme-studio,https://github.com/JasonSTong/codex-theme-studio,JavaScript,,2026-W30,2026-W30,1,91,91,0,1,false,true,cdp|codex|codex-desktop|customization|developer-tools|javascript|local-first|macos
458,JesusRS1/stock-trade-finance-api,https://github.com/JesusRS1/stock-trade-finance-api,TypeScript,NOASSERTION,2026-W29,2026-W30,2,91,91,0,310,false,true,mcp|mcp-server|stock-mcp|stock-trade|tiingo
459,nkzw-tech/cloudsail,https://github.com/nkzw-tech/cloudsail,TypeScript,MIT,2026-W22,2026-W22,1,90,90,0,4,false,true,
460,yc-duan/fastctx,https://github.com/yc-duan/fastctx,Rust,Apache-2.0,2026-W30,2026-W30,1,90,90,0,1,false,true,
461,hotaku76/Polymarket-Automated-Trading-Bot,https://github.com/hotaku76/Polymarket-Automated-Trading-Bot,TypeScript,,2026-W22,2026-W22,1,89,89,0,2,false,true,5min|arbitrage|bot|kalshi|polymarket|polymarket-5min-bot|polymarket-arbitrae-trading-bot|polymarket-btc-arbitrage-bot
462,johunsang/semble_rs,https://github.com/johunsang/semble_rs,Rust,,2026-W21,2026-W21,1,88,88,0,11,false,true,ai-agent|bm25|claude-code|cli|code-search|codex|coding-assistant|cursor
463,deepakness/google-ai-search-optimization,https://github.com/deepakness/google-ai-search-optimization,,,2026-W21,2026-W21,1,87,87,0,4,false,true,ai-agents|ai-seo|seo
464,domanski-ai/headroom,https://github.com/domanski-ai/headroom,Python,MIT,2026-W29,2026-W29,1,87,87,0,11,false,true,anthropic|claude|claude-code|cli|codex|dashboard|developer-tools|openai
